ProductKey,WarehouseKey,Date,QuantityOnHand
2,9,2024-10-29,473
3,3,2024-11-09,174
2,5,2024-02-18,374
5,5,2024-09-13,328
1,1,2024-05-12,99
2,10,2024-03-31,494
5,3,2024-03-02,126
3,8,2024-01-13,367
3,10,2024-09-18,319
2,4,2024-10-13,130
4,5,2024-06-02,334
4,1,2024-06-16,396
1,7,2024-03-07,239
2,3,2024-01-27,233
1,1,2024-09-18,95
3,2,2024-07-26,129
1,3,2024-08-22,254
2,6,2024-12-07,184
2,4,2024-12-19,84
3,5,2024-03-05,244
3,1,2024-08-30,374
2,8,2024-10-13,413
3,7,2024-12-24,183
4,9,2024-06-17,340
1,7,2024-08-25,465
1,1,2024-02-07,409
5,5,2024-12-15,479
3,2,2024-05-08,163
2,6,2024-08-05,57
2,8,2024-04-15,197
1,10,2024-01-29,382
5,10,2024-01-30,251
2,9,2024-10-02,315
3,8,2024-05-01,261
4,5,2024-08-31,121
5,7,2024-09-16,441
3,5,2024-06-01,357
4,6,2024-01-29,347
1,1,2024-04-22,274
5,1,2024-04-25,285
5,5,2024-12-21,456
4,10,2024-07-30,148
3,6,2024-08-25,126
4,9,2024-08-09,436
1,1,2024-04-26,227
4,2,2024-09-08,138
4,6,2024-09-25,194
4,3,2024-11-14,95
1,10,2024-07-02,271
1,1,2024-05-13,458
2,7,2024-11-13,133
1,10,2024-12-08,62
4,3,2024-10-20,153
5,5,2024-06-24,171
5,9,2024-04-01,151
1,9,2024-11-13,134
1,3,2024-07-27,392
2,2,2024-11-25,152
5,10,2024-01-09,237
4,3,2024-11-07,80
5,7,2024-05-04,403
3,3,2024-05-16,124
3,7,2024-08-15,348
5,9,2024-03-04,323
2,3,2024-11-12,134
5,4,2024-02-10,278
3,10,2024-10-03,273
1,2,2024-05-05,306
5,7,2024-06-27,183
2,4,2024-05-02,357
2,6,2024-03-22,261
1,4,2024-12-28,64
1,10,2024-12-28,376
1,6,2024-01-22,361
3,10,2024-03-25,325
1,6,2024-01-04,450
1,6,2024-01-01,412
4,9,2024-04-08,266
2,7,2024-08-31,453
5,8,2024-02-29,185
3,6,2024-11-07,178
1,2,2024-10-19,287
5,10,2024-09-29,345
5,9,2024-08-24,400
3,4,2024-03-29,273
4,9,2024-08-04,367
2,7,2024-04-04,310
2,4,2024-07-16,388
5,4,2024-10-05,175
4,9,2024-09-08,234
3,2,2024-12-28,110
2,3,2024-02-18,193
3,7,2024-08-25,353
5,1,2024-12-21,462
4,8,2024-09-10,412
1,2,2024-12-02,402
5,4,2024-10-03,246
2,3,2024-06-13,303
1,5,2024-05-15,52
4,7,2024-08-17,61
1,4,2024-04-15,482
5,6,2024-10-18,113
3,5,2024-01-23,138
4,3,2024-12-04,399
2,3,2024-03-11,293
5,10,2024-08-09,235
3,1,2024-11-29,120
2,3,2024-04-23,160
3,9,2024-02-26,450
3,9,2024-09-25,352
4,2,2024-06-21,246
3,8,2024-04-13,206
4,1,2024-03-23,391
4,4,2024-08-04,472
4,10,2024-05-08,246
2,8,2024-07-01,203
1,1,2024-09-03,292
3,8,2024-10-11,399
1,1,2024-09-07,469
5,3,2024-07-25,347
5,5,2024-08-29,372
2,7,2024-09-28,54
1,6,2024-01-23,488
3,1,2024-08-14,293
5,1,2024-08-23,153
4,6,2024-01-27,332
3,5,2024-09-03,123
1,5,2024-03-13,316
4,5,2024-09-07,482
1,8,2024-12-07,211
1,8,2024-08-16,323
1,6,2024-08-17,87
3,7,2024-05-06,482
2,7,2024-07-18,410
4,7,2024-10-23,126
5,9,2024-01-24,315
5,9,2024-04-08,482
5,9,2024-04-27,160
2,3,2024-01-01,110
1,6,2024-03-05,397
2,8,2024-04-16,433
5,8,2024-05-06,154
3,8,2024-05-22,434
3,5,2024-09-11,280
3,5,2024-10-25,147
2,9,2024-11-01,126
4,10,2024-02-23,158
2,2,2024-07-15,294
2,2,2024-05-31,89
1,5,2024-07-28,198
5,1,2024-09-15,79
4,1,2024-10-03,228
1,4,2024-08-30,70
3,10,2024-05-16,412
1,4,2024-09-26,390
2,8,2024-07-18,465
4,6,2024-01-05,308
5,2,2024-05-23,402
1,3,2024-02-29,493
2,6,2024-09-08,410
2,8,2024-05-07,245
4,10,2024-05-08,147
3,6,2024-07-16,444
2,7,2024-07-02,343
5,3,2024-09-05,188
4,6,2024-06-19,359
2,10,2024-03-13,159
3,5,2024-09-26,378
5,7,2024-01-09,311
1,5,2024-01-25,189
5,5,2024-04-06,353
1,1,2024-04-12,435
4,7,2024-03-14,337
1,5,2024-05-27,67
1,5,2024-02-25,379
2,1,2024-08-18,282
3,1,2024-08-19,97
3,5,2024-04-20,101
3,10,2024-11-07,475
5,3,2024-02-09,341
5,6,2024-02-28,228
1,4,2024-05-05,132
1,7,2024-11-30,333
4,3,2024-07-29,182
4,4,2024-05-30,127
4,8,2024-08-10,425
5,9,2024-02-28,363
3,3,2024-06-29,459
2,5,2024-07-17,67
3,3,2024-06-19,415
3,9,2024-09-30,460
4,6,2024-07-25,69
4,6,2024-03-27,435
1,5,2024-04-06,407
1,9,2024-06-07,297
5,10,2024-05-13,359
5,4,2024-01-07,146
3,9,2024-04-17,163
5,8,2024-02-08,477
4,3,2024-07-14,500
3,4,2024-12-30,51
5,3,2024-11-04,448
4,3,2024-10-28,86
2,2,2024-10-19,213
4,2,2024-07-25,175
2,6,2024-10-09,479
4,5,2024-07-26,366
4,7,2024-04-23,454
1,6,2024-09-01,292
5,5,2024-03-28,462
1,3,2024-11-28,441
3,2,2024-08-06,93
1,1,2024-07-29,286
1,3,2024-03-16,235
3,9,2024-09-22,254
5,8,2024-03-20,234
1,3,2024-04-11,248
4,1,2024-11-16,444
4,9,2024-10-13,473
4,3,2024-10-26,144
1,5,2024-12-05,84
1,1,2024-10-17,451
2,5,2024-07-09,360
3,2,2024-09-04,322
5,9,2024-10-21,359
2,4,2024-11-28,260
5,4,2024-08-31,127
3,5,2024-01-04,103
2,7,2024-09-01,240
5,6,2024-01-06,149
5,1,2024-08-17,495
1,6,2024-11-24,271
4,6,2024-01-03,479
2,7,2024-12-30,432
1,1,2024-09-18,238
5,7,2024-05-27,305
5,3,2024-06-11,55
5,4,2024-12-25,162
3,3,2024-11-30,348
2,5,2024-04-05,72
4,6,2024-09-20,127
3,1,2024-06-08,462
4,3,2024-08-21,359
2,7,2024-06-28,356
1,4,2024-10-02,132
3,3,2024-10-04,231
5,2,2024-08-07,93
3,4,2024-01-22,313
2,4,2024-05-12,411
2,2,2024-06-28,391
5,7,2024-08-15,174
4,8,2024-04-14,132
1,1,2024-09-25,379
5,2,2024-09-20,343
3,1,2024-06-01,253
3,1,2024-08-09,132
3,1,2024-01-30,118
5,9,2024-04-30,350
3,5,2024-03-27,422
1,4,2024-09-18,429
2,10,2024-04-21,343
4,1,2024-08-05,212
4,8,2024-11-03,208
2,10,2024-04-21,164
3,8,2024-05-16,443
1,6,2024-02-20,173
1,5,2024-11-18,389
3,3,2024-05-01,55
1,5,2024-02-24,146
4,6,2024-05-19,348
1,6,2024-08-16,113
2,7,2024-08-31,342
3,6,2024-06-17,394
3,10,2024-10-15,461
2,3,2024-04-25,333
2,4,2024-04-29,308
2,9,2024-04-24,62
1,3,2024-01-22,135
5,10,2024-02-08,494
1,3,2024-05-18,250
5,8,2024-11-18,72
3,8,2024-06-14,383
2,6,2024-10-24,128
3,3,2024-10-01,353
5,4,2024-01-12,195
2,8,2024-06-27,66
4,9,2024-07-08,301
5,2,2024-09-30,137
1,3,2024-02-08,154
4,6,2024-11-28,474
2,10,2024-12-18,125
3,2,2024-02-24,425
5,9,2024-06-21,178
5,6,2024-03-04,168
3,7,2024-10-07,63
4,8,2024-04-17,392
5,4,2024-10-28,361
3,9,2024-12-06,475
5,8,2024-03-26,451
4,6,2024-07-23,230
4,9,2024-03-27,445
3,10,2024-09-29,483
2,10,2024-06-14,197
5,5,2024-10-14,328
1,1,2024-01-26,402
4,8,2024-09-05,205
5,9,2024-11-09,271
5,7,2024-05-19,430
2,10,2024-04-12,160
3,1,2024-08-14,65
3,4,2024-01-27,429
5,9,2024-06-06,398
5,10,2024-01-25,157
4,4,2024-11-12,437
4,4,2024-08-08,212
4,7,2024-07-14,382
3,7,2024-05-02,105
3,7,2024-05-18,139
3,5,2024-01-15,429
1,8,2024-03-16,75
1,4,2024-09-30,241
1,1,2024-11-25,320
1,1,2024-06-06,88
4,1,2024-11-23,90
5,4,2024-02-25,488
1,1,2024-01-06,182
5,10,2024-02-10,446
5,6,2024-02-01,175
2,5,2024-07-05,488
4,8,2024-09-11,165
1,9,2024-08-06,185
3,6,2024-12-05,123
3,10,2024-10-01,209
3,3,2024-10-29,499
5,6,2024-03-30,405
3,2,2024-12-26,433
3,9,2024-06-18,373
4,1,2024-02-22,389
2,8,2024-01-18,446
3,10,2024-04-18,53
4,5,2024-09-28,470
2,9,2024-04-14,403
3,3,2024-10-22,228
1,2,2024-03-13,312
4,6,2024-01-05,288
4,10,2024-03-28,374
1,1,2024-10-15,125
5,3,2024-07-03,146
5,2,2024-09-28,255
5,7,2024-10-26,420
4,5,2024-05-30,388
1,1,2024-07-08,474
4,5,2024-01-14,197
4,3,2024-02-16,497
1,8,2024-02-06,347
1,4,2024-06-09,297
2,5,2024-08-13,62
3,8,2024-09-02,427
5,1,2024-01-09,92
4,9,2024-07-09,93
2,4,2024-05-21,208
4,6,2024-02-22,89
5,2,2024-09-02,87
1,9,2024-03-24,427
4,1,2024-08-26,274
3,4,2024-07-27,473
1,10,2024-12-23,300
1,2,2024-10-22,136
2,2,2024-06-16,370
1,9,2024-10-27,297
5,7,2024-01-10,156
2,6,2024-12-30,174
5,9,2024-09-28,282
3,9,2024-10-27,244
2,4,2024-07-16,286
5,7,2024-10-18,252
4,9,2024-05-23,274
2,1,2024-06-03,443
5,7,2024-12-30,199
5,3,2024-12-15,127
3,1,2024-10-29,385
2,4,2024-01-21,411
3,3,2024-10-18,89
5,8,2024-10-05,336
5,1,2024-02-29,94
1,9,2024-09-07,272
3,8,2024-03-26,195
2,4,2024-08-09,465
1,10,2024-12-31,160
4,6,2024-10-28,333
4,7,2024-09-05,489
2,6,2024-10-07,284
3,2,2024-02-25,98
2,6,2024-12-18,421
1,9,2024-06-05,233
4,2,2024-06-01,238
3,4,2024-12-12,346
5,6,2024-12-07,268
1,8,2024-03-16,407
1,5,2024-01-15,380
5,7,2024-11-13,69
1,3,2024-11-07,186
5,10,2024-08-09,108
2,2,2024-06-03,392
4,6,2024-06-20,85
5,8,2024-02-15,381
2,6,2024-09-01,326
2,10,2024-08-04,358
4,4,2024-08-17,140
2,8,2024-07-17,244
3,5,2024-07-14,379
3,5,2024-01-26,258
3,2,2024-08-13,277
2,4,2024-07-07,306
3,9,2024-08-07,471
1,4,2024-01-26,100
3,3,2024-06-12,176
5,8,2024-08-07,315
2,9,2024-02-25,471
4,5,2024-09-15,491
2,10,2024-02-26,431
3,5,2024-08-03,416
5,7,2024-07-28,203
4,1,2024-03-21,241
5,7,2024-02-13,145
1,8,2024-06-08,135
5,3,2024-04-28,215
1,7,2024-05-20,211
1,5,2024-01-04,76
2,10,2024-08-08,300
5,4,2024-08-20,171
3,9,2024-01-25,57
3,8,2024-08-17,162
2,4,2024-08-06,109
3,4,2024-03-29,123
1,10,2024-04-28,234
4,2,2024-09-26,460
2,1,2024-05-03,377
2,8,2024-12-24,110
2,9,2024-01-03,68
4,4,2024-11-11,403
4,6,2024-11-12,196
5,2,2024-01-25,217
5,1,2024-01-03,310
4,1,2024-09-20,162
3,8,2024-06-07,462
1,6,2024-05-15,383
1,3,2024-03-14,403
4,8,2024-08-18,173
3,10,2024-08-23,412
5,10,2024-12-03,221
4,4,2024-06-25,51
5,2,2024-11-28,90
2,2,2024-05-06,200
2,9,2024-10-19,303
3,5,2024-04-12,430
2,5,2024-02-21,372
2,7,2024-04-08,113
5,7,2024-09-24,219
4,9,2024-12-13,106
3,7,2024-07-03,285
2,6,2024-06-14,220
4,2,2024-08-04,126
3,9,2024-08-29,222
5,4,2024-07-28,381
5,1,2024-03-09,447
2,10,2024-05-16,251
2,8,2024-08-04,293
3,10,2024-05-16,340
3,7,2024-01-01,459
3,3,2024-03-06,321
2,7,2024-07-19,119
2,10,2024-02-03,352
1,10,2024-10-11,152
1,3,2024-04-01,161
5,10,2024-02-04,341
5,1,2024-04-19,232
5,1,2024-09-21,97
4,8,2024-08-30,483
2,7,2024-07-07,117
4,8,2024-02-27,87
3,5,2024-06-17,211
1,2,2024-06-03,481
4,9,2024-08-23,366
5,2,2024-12-13,430
4,9,2024-08-13,318
3,2,2024-02-23,71
1,1,2024-05-22,156
5,5,2024-10-07,382
2,10,2024-03-22,183
2,6,2024-07-13,95
5,6,2024-04-04,62
5,10,2024-04-10,101
1,3,2024-06-07,295
3,8,2024-12-10,341
1,7,2024-09-05,62
4,8,2024-03-22,130
4,2,2024-07-05,245
4,10,2024-01-01,51
5,1,2024-04-30,62
1,10,2024-12-25,400
1,4,2024-09-17,152
5,1,2024-12-02,363
4,3,2024-08-09,339
5,7,2024-08-07,408
3,7,2024-04-23,126
4,3,2024-02-17,478
3,3,2024-11-18,451
2,5,2024-07-13,314
5,8,2024-04-04,125
4,2,2024-02-28,405
1,10,2024-09-23,330
5,4,2024-03-25,490
1,1,2024-06-03,157
5,6,2024-05-22,315
1,9,2024-06-14,403
5,6,2024-05-04,204
1,8,2024-02-25,141
5,3,2024-05-28,255
1,2,2024-04-13,77
3,7,2024-10-28,455
4,5,2024-07-15,276
4,10,2024-07-15,249
3,4,2024-07-12,225
4,10,2024-11-24,362
4,2,2024-04-08,375
5,3,2024-06-28,403
4,8,2024-10-01,96
1,4,2024-10-30,101
5,6,2024-03-10,309
4,5,2024-06-25,143
2,4,2024-05-13,475
2,1,2024-04-23,216
4,3,2024-05-26,206
2,3,2024-07-10,342
5,9,2024-11-24,432
1,2,2024-08-10,497
1,8,2024-02-26,270
4,4,2024-07-06,326
4,9,2024-09-05,239
2,3,2024-10-06,365
3,7,2024-09-28,491
5,3,2024-03-09,161
4,7,2024-04-10,386
5,9,2024-09-19,372
5,9,2024-03-11,271
2,7,2024-09-22,69
5,3,2024-02-23,306
4,6,2024-10-10,340
5,1,2024-03-12,120
4,9,2024-09-29,383
1,9,2024-06-13,198
2,4,2024-11-27,90
5,7,2024-03-06,202
3,1,2024-02-06,204
1,6,2024-05-06,499
5,7,2024-10-14,341
1,4,2024-11-06,91
3,1,2024-01-04,426
1,10,2024-06-17,387
3,1,2024-06-05,225
1,8,2024-02-10,154
1,3,2024-04-01,50
4,3,2024-08-10,88
1,2,2024-05-23,50
1,8,2024-06-23,241
2,1,2024-01-09,414
5,2,2024-07-10,345
3,3,2024-04-29,151
4,6,2024-08-29,394
1,6,2024-04-25,374
2,5,2024-08-02,255
5,3,2024-03-23,105
1,10,2024-06-14,243
1,6,2024-03-31,374
4,4,2024-09-03,344
5,9,2024-07-19,171
5,9,2024-06-06,434
2,2,2024-09-09,468
4,8,2024-05-02,117
4,4,2024-08-08,407
1,6,2024-01-31,407
1,9,2024-05-19,107
4,3,2024-02-16,395
2,9,2024-04-07,328
5,2,2024-04-17,308
5,5,2024-11-24,279
4,9,2024-02-29,470
4,8,2024-08-07,415
5,3,2024-01-30,174
3,5,2024-08-28,138
4,5,2024-12-02,386
3,9,2024-03-14,60
2,8,2024-07-03,185
4,3,2024-08-31,263
4,3,2024-04-29,168
2,7,2024-09-29,212
3,10,2024-12-15,401
1,9,2024-03-19,475
5,6,2024-03-28,53
4,6,2024-01-01,321
2,10,2024-09-25,251
2,7,2024-03-01,190
4,1,2024-06-24,367
4,4,2024-01-20,430
2,7,2024-05-21,444
4,4,2024-08-26,100
4,3,2024-08-28,88
3,3,2024-04-05,478
5,2,2024-11-21,411
1,7,2024-04-05,398
4,2,2024-12-23,301
5,7,2024-07-30,366
1,1,2024-04-22,98
5,6,2024-06-24,62
4,1,2024-10-15,357
1,3,2024-10-25,256
1,7,2024-04-13,361
5,10,2024-04-20,326
4,1,2024-08-29,295
3,9,2024-11-05,432
5,4,2024-04-20,396
2,1,2024-08-29,184
4,5,2024-03-08,188
4,6,2024-04-30,466
3,6,2024-11-02,232
4,2,2024-02-12,194
5,6,2024-08-04,390
2,6,2024-11-17,145
4,8,2024-08-07,382
1,1,2024-06-01,449
4,3,2024-02-22,472
3,8,2024-06-28,456
2,1,2024-11-05,257
4,6,2024-03-04,418
4,4,2024-02-21,426
2,8,2024-12-29,92
3,2,2024-03-10,433
4,9,2024-10-04,272
5,1,2024-08-29,489
1,9,2024-06-12,283
4,1,2024-02-08,124
3,4,2024-07-09,485
1,3,2024-09-10,193
3,6,2024-06-09,90
4,6,2024-12-28,118
2,10,2024-02-24,246
2,6,2024-12-12,272
3,5,2024-12-17,294
3,3,2024-08-04,160
3,5,2024-12-23,475
4,4,2024-03-07,204
2,6,2024-02-10,262
4,5,2024-08-16,453
5,9,2024-08-22,281
5,9,2024-03-14,207
1,6,2024-11-07,370
3,6,2024-12-23,245
2,1,2024-04-26,212
3,6,2024-06-06,209
3,1,2024-04-13,275
3,1,2024-12-19,142
5,9,2024-04-09,254
4,8,2024-09-28,235
5,3,2024-10-06,313
1,1,2024-07-27,256
1,9,2024-01-22,72
2,1,2024-06-08,325
1,6,2024-10-16,70
4,10,2024-07-12,218
1,10,2024-08-27,273
5,5,2024-03-01,337
3,8,2024-07-28,250
2,10,2024-11-04,336
5,3,2024-06-19,210
5,6,2024-07-18,406
3,10,2024-05-17,88
5,6,2024-12-11,325
2,8,2024-10-18,357
5,5,2024-07-31,402
4,7,2024-02-03,423
3,4,2024-12-31,128
1,4,2024-05-02,162
3,10,2024-08-31,153
4,6,2024-04-18,293
1,1,2024-02-11,378
5,7,2024-06-16,112
1,3,2024-08-14,236
1,4,2024-03-10,61
1,10,2024-02-18,336
1,9,2024-04-04,418
5,6,2024-12-14,329
5,8,2024-11-17,213
4,10,2024-09-20,217
4,6,2024-09-26,394
3,9,2024-03-06,89
2,3,2024-12-18,97
4,1,2024-05-13,57
1,7,2024-06-24,357
5,6,2024-08-08,79
2,6,2024-01-21,308
4,7,2024-09-29,308
1,7,2024-12-21,326
2,7,2024-08-15,335
1,1,2024-04-13,280
3,1,2024-07-21,452
2,5,2024-06-19,227
2,3,2024-10-20,64
3,1,2024-12-09,403
4,8,2024-05-30,204
5,7,2024-01-03,477
3,2,2024-04-26,412
2,5,2024-01-31,306
1,6,2024-03-22,425
5,1,2024-09-06,128
2,8,2024-10-24,249
4,1,2024-07-19,229
4,5,2024-03-01,201
5,8,2024-07-09,356
4,5,2024-05-05,75
2,7,2024-07-28,248
3,4,2024-05-18,498
3,5,2024-03-26,372
2,4,2024-12-21,178
5,7,2024-08-17,147
1,4,2024-07-03,146
1,8,2024-10-24,230
4,8,2024-12-28,310
3,9,2024-06-01,409
3,9,2024-11-29,244
1,8,2024-09-28,266
2,7,2024-12-05,472
3,7,2024-01-18,391
3,8,2024-11-12,190
3,9,2024-09-24,496
3,7,2024-10-09,253
5,9,2024-09-07,191
1,5,2024-10-11,267
2,4,2024-06-02,70
2,10,2024-02-25,347
1,7,2024-12-17,106
4,8,2024-03-04,173
4,1,2024-05-02,342
5,8,2024-10-23,148
5,7,2024-05-24,228
4,6,2024-08-16,485
2,1,2024-08-15,215
5,2,2024-04-21,322
3,4,2024-03-24,172
5,6,2024-02-14,324
1,3,2024-04-08,371
2,6,2024-12-08,406
1,6,2024-03-22,333
2,1,2024-04-21,354
1,10,2024-10-31,77
2,9,2024-05-26,470
3,6,2024-12-18,364
1,1,2024-08-15,223
2,9,2024-04-15,190
2,1,2024-12-03,495
1,5,2024-08-31,215
5,7,2024-05-19,288
1,3,2024-09-18,107
3,6,2024-01-09,456
3,3,2024-11-26,212
5,10,2024-05-18,387
3,8,2024-03-22,499
3,3,2024-12-05,302
2,8,2024-03-27,396
1,3,2024-05-23,238
1,3,2024-07-23,124
5,5,2024-11-16,386
5,5,2024-06-12,135
1,1,2024-12-22,225
1,7,2024-10-01,156
1,8,2024-01-29,153
3,8,2024-03-25,354
4,10,2024-02-18,369
5,7,2024-02-03,289
2,10,2024-11-12,345
2,5,2024-02-27,153
5,4,2024-04-09,148
5,10,2024-01-09,412
1,1,2024-03-29,334
4,5,2024-12-22,238
3,9,2024-05-13,283
2,8,2024-12-07,416
1,3,2024-08-17,157
3,10,2024-06-18,328
3,6,2024-10-31,56
2,3,2024-12-25,52
2,1,2024-07-17,489
4,9,2024-09-29,327
4,7,2024-08-05,372
3,7,2024-11-04,180
2,8,2024-07-18,61
3,8,2024-07-16,382
4,6,2024-06-20,294
5,6,2024-06-21,302
1,9,2024-07-20,268
5,7,2024-04-27,390
2,3,2024-02-23,219
3,10,2024-06-13,134
4,4,2024-12-14,131
4,2,2024-01-28,171
5,9,2024-11-06,308
4,5,2024-02-16,76
1,9,2024-05-17,307
3,6,2024-07-19,255
3,4,2024-10-26,406
3,10,2024-06-03,229
1,8,2024-04-02,471
4,5,2024-07-02,440
3,7,2024-12-30,461
1,10,2024-04-24,372
3,8,2024-09-04,95
1,5,2024-06-04,311
3,10,2024-12-14,87
1,10,2024-06-22,108
1,1,2024-11-23,303
5,3,2024-09-11,287
4,1,2024-04-26,114
3,6,2024-10-16,172
1,5,2024-10-15,236
3,8,2024-12-20,237
5,2,2024-02-24,231
2,3,2024-01-15,442
5,4,2024-10-03,202
1,5,2024-11-11,131
4,2,2024-06-17,171
1,9,2024-06-04,170
5,4,2024-05-08,90
2,2,2024-03-09,179
2,6,2024-05-18,163
5,8,2024-04-08,439
4,3,2024-06-16,489
2,2,2024-03-15,419
4,6,2024-03-19,468
2,5,2024-01-24,182
1,5,2024-02-08,269
3,6,2024-11-16,345
5,2,2024-02-20,413
4,10,2024-02-23,70
2,6,2024-04-26,297
3,7,2024-03-20,147
3,1,2024-01-09,213
2,1,2024-01-27,276
5,4,2024-09-02,280
5,1,2024-03-20,218
1,5,2024-02-08,70
1,3,2024-08-04,327
2,1,2024-01-15,428
1,6,2024-11-17,149
3,2,2024-05-16,280
3,9,2024-12-03,159
2,2,2024-04-21,322
2,7,2024-05-09,330
1,1,2024-07-22,463
1,6,2024-02-06,247
3,10,2024-10-04,125
1,6,2024-08-06,203
2,8,2024-01-29,247
1,8,2024-05-08,189
4,5,2024-03-30,472
4,2,2024-08-05,256
4,2,2024-11-12,410
4,6,2024-12-16,326
5,4,2024-08-21,441
1,2,2024-06-01,111
5,3,2024-02-28,217
4,10,2024-04-20,316
4,10,2024-07-07,219
1,5,2024-02-07,469
3,4,2024-03-28,223
2,9,2024-01-27,389
2,2,2024-09-30,163
2,6,2024-12-12,228
2,7,2024-10-13,112
3,3,2024-11-17,176
2,8,2024-08-22,414
5,4,2024-04-08,282
3,1,2024-07-29,358
1,6,2024-11-22,495
3,1,2024-11-14,393
4,7,2024-03-23,167
3,6,2024-05-30,402
1,3,2024-07-03,273
1,1,2024-02-06,269
4,2,2024-08-25,365
1,1,2024-08-06,165
1,8,2024-10-11,141
2,2,2024-05-20,426
3,2,2024-06-04,408
3,7,2024-11-22,361
3,2,2024-04-24,408
1,7,2024-12-30,360
3,6,2024-10-03,171
5,8,2024-09-07,238
4,1,2024-04-26,373
3,10,2024-05-30,425
3,9,2024-01-11,395
4,5,2024-09-24,350
3,5,2024-05-20,197
5,6,2024-07-16,441
3,1,2024-10-11,184
3,6,2024-05-21,369
2,2,2024-06-17,145
5,8,2024-06-30,382
1,7,2024-02-08,220
5,1,2024-11-15,332
4,10,2024-09-02,224
1,9,2024-07-21,106
1,3,2024-02-28,289
4,1,2024-03-17,346
1,7,2024-09-13,76
2,1,2024-12-01,122
1,8,2024-01-15,299
2,6,2024-02-02,103
4,7,2024-08-11,417
1,1,2024-03-15,466
1,2,2024-05-17,379
1,6,2024-01-25,81
1,7,2024-06-11,482
2,4,2024-09-14,146
2,4,2024-08-14,497
5,2,2024-04-18,227
1,6,2024-12-26,474
5,6,2024-04-11,470
4,4,2024-01-18,262
4,3,2024-02-16,167
2,3,2024-09-10,94
5,8,2024-11-10,499
4,10,2024-04-14,225
1,3,2024-11-11,372
1,1,2024-06-12,311
3,5,2024-08-06,417
5,5,2024-08-16,125
5,4,2024-06-28,409
3,6,2024-01-29,110
2,9,2024-09-22,343
2,9,2024-03-14,125
